name,dataset,seed,split_count,prediction_count,tp,fp,fn,tn,recomputed_iou,recomputed_dice,recomputed_precision,recomputed_recall,recomputed_specificity,max_abs_diff_vs_summary,max_abs_diff_summary_vs_metrics_csv
busi_attention_ukan_seed2981,busi,2981,156,156,678042,161624,161950,9222000,0.676948051948052,0.807357212003872,0.807513940066646,0.807200544767093,0.982775950954557,1.19094973471956e-06,0
busi_no_kan_seed2981,busi,2981,156,156,617856,112601,222136,9271023,0.64860438823296,0.786852677164301,0.845848557820652,0.735549862379642,0.988000265142764,2.7804184669078e-06,0
busi_no_kan_seed6142,busi,6142,156,156,616862,194124,227218,9185412,0.594162611586933,0.745422841143495,0.760632119420064,0.730809875841153,0.979303453816905,1.23306690869018e-06,0
busi_ukan_seed2981,busi,2981,156,156,681872,152000,158120,9231624,0.687376511100896,0.814728078266813,0.8177178271965,0.811760112001067,0.983801567496737,1.19922482100243e-06,0
busi_ukan_seed6142,busi,6142,156,156,602562,134585,241518,9244951,0.615697915016885,0.762144840683849,0.817424475715156,0.713868353710549,0.985651209185614,2.7131630462307e-06,0
busi_unet_seed2981,busi,2981,156,156,614765,125193,225227,9258431,0.63694006848428,0.778208171144656,0.830810667632487,0.731870065429195,0.98665835289223,1.35142805401944e-06,0
cvc_attention_ukan_seed2981,cvc,2981,122,122,621790,53587,139472,7180543,0.76307389467251,0.865617597740281,0.920656166851995,0.816788438146131,0.992592474838025,0,0
cvc_no_kan_seed2981,cvc,2981,122,122,637756,67123,123506,7167007,0.76987873995787,0.869979081138854,0.90477372712196,0.837761506550964,0.990721344515512,0,0
cvc_ukan_seed2981,cvc,2981,122,122,647318,60877,113944,7173253,0.78735834208084,0.881030203673874,0.914039212363826,0.850322228089672,0.991584751725501,0,0
cvc_ukan_seed2981_ft50,cvc,2981,122,122,638085,51912,123177,7182218,0.784684458676741,0.879353719770213,0.924764890282132,0.838193683646366,0.992824016156746,0,0
cvc_unet_seed2981,cvc,2981,122,122,634270,51569,126992,7182561,0.780322108777839,0.876607783423548,0.924808883717607,0.833182268391171,0.992871430289475,0,0
